"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
84,54,135.18,67.59,14352.05,14352.05,100,469954.0455,469954.0455,0.053104807
85,62,136.27,68.13,14583.4,14583.4,100,576840.1964,576840.1964,0.065182942
86,62,141.04,70.52,15622.86,15622.86,100,609112.4535,609112.4535,0.068829707
87,64,145.16,72.58,16550.06,14997.6,90.61961105,666840.9644,604288.6883,0.068284622
88,58,166.52,83.26,21778.75,15359.09,70.52328531,733729.2281,517449.957,0.058471845
89,27,100.35,50.17,7908.99,7908.99,100,117056.968,117056.968,0.013227437
90,32,102.15,51.08,8195.58,8195.58,100,148308.2926,148308.2926,0.016758837
91,44,134.79,67.4,14270.26,9641.8,67.56569257,358575.2699,242273.8645,0.027376947
92,44,136.53,68.26,14639.85,14639.85,100,366638.7555,366638.7555,0.041430179
93,38,117.04,58.52,10758.31,10758.31,100,233145.6048,233145.6048,0.026345453
94,40,98.55,49.28,7628,7628,100,186098.633,186098.633,0.021029146
97,42,113.55,56.77,10126.38,4565.78,45.08797813,251413.7775,113357.389,0.012809385
98,35,123.79,61.89,12034.94,12034.94,100,233035.0024,233035.0024,0.026332955
99,53,148.35,74.17,17284.36,10840.46,62.71831876,535937.9228,336131.2548,0.037982832
100,62,171.74,85.87,23166.22,23166.22,100,842904.0659,842904.0659,0.095248159
101,52,156.2,78.1,19161.79,5150.51,26.87906506,571846.9158,153707.1045,0.017368903
102,48,148.21,74.11,17252.73,17252.73,100,472014.9042,472014.9042,0.053337684
103,38,112.55,56.27,9948.19,7672.41,77.12367777,217728.9536,167920.5766,0.018975025
104,60,173.37,86.68,23606.75,15193.25,64.35976998,821220.7141,528535.7626,0.059724541
105,54,152.75,76.38,18325.91,18325.91,100,577297.2402,577297.2402,0.065234588
106,30,124.17,62.09,12109.55,9418.99,77.78150303,195807.6837,152302.1594,0.017210144
107,28,76.1,38.05,4548.84,4548.84,100,75171.7201,75171.7201,0.008494404
108,68,194.97,97.48,29854.61,10883.8,36.45601132,1179621.693,430043.0181,0.048594861
109,50,170.6,85.3,22857.39,10314.19,45.12409335,636912.6193,287401.0449,0.032476318
110,46,136.98,68.49,14737.13,12869.03,87.32385478,389912.2031,340486.366,0.038474959
111,40,112.51,56.25,9941.37,5111.08,51.4122299,232314.2318,119437.9269,0.013496486
112,34,125.27,62.63,12324.76,4255.88,34.53113894,230069.681,79445.68122,0.008977362
113,48,179.11,89.55,25195.22,16819.3,66.7559164,662539.4598,442284.2879,0.049978125
114,52,155.02,77.51,18873.41,4380.2,23.20831265,564347.7538,130975.5911,0.014800242
115,38,111.82,55.91,9820.64,9820.64,100,215318.3744,215318.3744,0.024330976
116,30,121.64,60.82,11620.88,4789.98,41.21873731,188451.8471,77677.47182,0.008777554
117,32,98.26,49.13,7582.88,4371.18,57.64538012,138485.9398,79830.74642,0.009020874
118,36,111.46,55.73,9756.51,9756.51,100,200059.7373,200059.7373,0.02260675
119,47,136.95,68.48,14731.1,1209.55,8.210860017,400576.0841,32890.74153,0.003716654
120,58,137.71,68.86,14894.45,9294.45,62.4021028,534158.5746,333326.1828,0.037665859
121,35,107.65,53.83,9102.05,9102.05,100,181756.9658,181756.9658,0.020538537
122,75,223.08,111.54,39085.14,8504.3,21.75839718,1686584.232,366973.6961,0.041468028
124,47,158.13,79.07,19640.13,5062.04,25.77396382,515935.463,132977.0196,0.015026403
125,66,206.8,103.4,33587.58,3731.47,11.10967209,1258953.923,139865.6526,0.015804819
126,64,161.94,80.97,20597.46,8171.06,39.67023118,796353.4483,315915.254,0.035698424
127,52,155.68,77.84,19035.1,9986.1,52.46150532,568535.1921,298262.1201,0.03370362
128,50,118.52,59.26,11031.77,6945.39,62.95807472,341261.8585,214851.8959,0.024278264
129,36,99.52,49.76,7778.07,4157.5,53.45156318,164446.7831,87899.37615,0.00993263
130,48,114.72,57.36,10337.15,2454.76,23.74697088,305978.7793,72660.69161,0.008210658
131,32,95.82,47.91,7211.35,7211.35,100,132535.0697,132535.0697,0.014976463
132,36,113.5,56.75,10118.42,1808.73,17.87561694,206547.5433,36921.64765,0.004172146
133,64,171.81,85.9,23183.22,18087.5,78.0197919,879057.1668,685838.5722,0.077499759
134,46,112.77,56.38,9987.21,7805.11,78.1510552,280647.4815,219328.9681,0.024784173
135,42,115.28,57.64,10436.64,3183.95,30.50742385,257980.5566,78703.22184,0.008893464
136,42,98.85,49.42,7674.27,6190.79,80.66943175,199921.734,161275.7268,0.018224157
137,40,110.67,55.33,9619.42,9619.42,100,225864.3159,225864.3159,0.025522668
138,60,144.17,72.09,16324.81,8761.26,53.66837348,602900.0397,323566.645,0.036563031
139,40,109.69,54.85,9449.83,9449.83,100,222541.3654,222541.3654,0.025147174
140,39,111.31,55.66,9731.11,7827.3,80.43583928,220848.2905,177641.176,0.020073453
141,27,91.04,45.52,6509.84,6509.84,100,98185.61019,98185.61019,0.011094974
142,42,134.17,67.09,14139.42,14139.42,100,335743.3581,335743.3581,0.037938999
143,30,106.59,53.29,8922.49,6613.6,74.12280653,147960.7249,109672.6419,0.012393009
144,36,119.62,59.81,11237.59,8755.57,77.91323585,226716.9602,176642.5199,0.019960605
145,77,220.75,110.38,38273.72,26105.75,68.2080289,1712680.053,1168185.306,0.13200494
146,39,148.15,74.07,17238.09,12494.66,72.48285628,367159.8673,266127.9589,0.030072459
147,28,83.22,41.61,5439.16,5439.16,100,87644.64216,87644.64216,0.009903845
148,24,63.48,31.74,3165.39,3165.39,100,45217.35525,45217.35525,0.005109561
149,35,74.99,37.49,4416.2,4416.2,100,99720.70132,99720.70132,0.011268439
150,50,126.54,63.27,12575.48,3506.5,27.8836275,379852.0282,105916.5246,0.011968567
151,50,154.54,77.27,18756.98,10922.41,58.23117581,534383.8292,311177.9871,0.035163113
152,47,141.67,70.84,15764.11,12698.3,80.55196265,424850.1879,342225.1647,0.038671444
153,32,77.7,38.85,4741.59,4741.59,100,93024.10834,93024.10834,0.010511724
154,50,114.64,57.32,10321.08,5954.5,57.69260581,323498.8853,186634.9367,0.021089748
156,32,109.83,54.91,9473.65,4053.16,42.78351005,168713.148,72181.40664,0.008156499
157,44,142,71,15837.29,10758.43,67.93100335,393011.1466,266976.4152,0.030168335
158,54,213.15,106.57,35682.3,26290.21,73.67857453,1045796.775,770528.1561,0.087069682
159,68,132.3,66.15,13747.16,7292.56,53.04775677,632035.9722,335280.9052,0.037886742
160,32,109,54.5,9331.04,5840.98,62.59730962,166458.334,104198.4387,0.011774424
161,75,179.77,89.88,25380.52,9805.44,38.63372382,1172609.009,453022.5258,0.051191545
162,50,121.54,60.77,11601.65,5489.08,47.31292532,355496.8311,168195.9502,0.019006142
163,50,148.21,74.11,17252.73,17252.73,100,496813.4598,496813.4598,0.056139921
164,39,113.87,56.94,10183.84,4168.07,40.9282746,229677.7241,94003.1296,0.010622354
165,35,98.79,49.4,7665.09,4002.43,52.2163471,156615.0959,81778.68207,0.009240991
166,46,98.21,49.11,7575.49,3489.48,46.06276294,225232.9823,103748.5347,0.011723584
167,64,185.54,92.77,27037.43,27037.43,100,1002455.197,1002455.197,0.113277437
168,48,138.22,69.11,15005.21,11104.95,74.0072948,418022.2362,309366.9486,0.034958465
169,64,174.43,87.22,23897.36,19946.19,83.46608161,902030.342,752889.3814,0.0850765
170,72,156.25,78.13,19175.63,10723.46,55.92233476,885811.9106,495366.7019,0.055976437
171,44,123.21,61.61,11923.03,11923.03,100,306948.5548,306948.5548,0.034685187
172,72,185.59,92.79,27051.42,18212.92,67.32703865,1169198.457,787186.6968,0.088952097
