"ind","d_one","altura","d_two","ar","arp","prot","volume","biov","biomassa"
63,195.7,57,150.72,22131.4,17559.16,79.34048456,176049.9648,139678.8951,0.015783715
64,216.48,54,153.69,24014.6,18490.04,76.99499471,190859.065,146951.927,0.016605568
65,188.13,60,131.32,17664.86,11353.11,64.26945925,158208.67,101679.8567,0.011489824
66,157.61,52,128.29,14732.03,6612.56,44.88559961,108968.7982,48911.29844,0.005526977
67,122.7,54,98.22,8437.56,8437.56,100,67929.6579,67929.6579,0.007676051
68,125.27,31.5,89.16,7922.02,7922.02,100,37359.80822,37359.80822,0.004221658
69,124.67,46.5,95.56,7980,7980,100,58197.09014,58197.09014,0.006576271
70,216.09,66,157.46,23862.71,5711.14,23.93332526,237744.6164,56900.19232,0.006429722
71,216.24,63,141.14,21613.58,21613.58,100,207418.4958,207418.4958,0.02343829
72,217.45,63,189.34,32321.12,32321.12,100,264574.7576,264574.7576,0.029896948
73,216.24,68,189.34,25530.03,19754.42,77.3771907,283798.2595,219595.1205,0.024814249
74,209.44,55.5,195.54,28916.65,24208.98,83.71986382,227862.1019,190765.8414,0.02155654
75,118.47,40,81.9,7462.43,7462.43,100,41514.94924,41514.94924,0.004691189
76,252.81,52,185.72,31830.43,29525.46,92.7585961,257529.3318,238880.5927,0.026993507
77,152.62,45,95.2,9875.86,5319.8,53.86670123,71046.65309,38270.48836,0.004324565
78,104.42,45,99.98,7517.81,7517.81,100,47026.79061,47026.79061,0.005314027
79,263.84,75,170.3,31184.11,16303.62,52.28181917,364121.0202,190369.0933,0.021511708
80,265.8,62.5,158.21,30002.06,27082.71,90.26950149,287231.883,259282.7889,0.029298955
81,87.95,30,83.72,5395.57,5395.57,100,22079.26572,22079.26572,0.002494957
82,257.8,67.5,156.25,28463.01,16314.07,57.31674197,296517.5756,169954.2137,0.019204826
83,135.55,48,128.9,12553.11,11266.88,89.7536945,83882.67208,75287.79724,0.008507521
84,116.05,27,86.13,6604.93,5679.85,85.99409835,28425.79797,24444.50866,0.002762229
85,228.68,75,133.13,21537.14,21537.14,100,250889.2415,250889.2415,0.028350484
86,163.28,45,114.34,12175.47,12175.47,100,89518.77491,89518.77491,0.010115622
87,94.75,39,73.29,4963.29,4963.29,100,28436.81738,28436.81738,0.00321336
88,112.43,45,95.96,7731.4,7731.4,100,49908.20884,49908.20884,0.005639628
89,207.63,54,136.76,19543.76,19543.76,100,165043.9895,165043.9895,0.018649971
