"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
61,125.57,48,108.5,10270.63,3664.27,35.67716878,342417.1373,122164.74,0.013804616
62,170,82,165.77,22663.06,10530.06,46.46354023,1209949.748,562185.4881,0.06352696
63,179.82,78,164.56,21763.18,12588.81,57.84453375,1208524.606,699065.4233,0.078994393
64,105.48,40,85.98,7104.69,3155.6,44.41573102,189944.2607,84365.13192,0.00953326
65,193.88,88,177.4,25810.78,4849.3,18.7878863,1584776.129,297745.9373,0.033645291
66,187.23,70,186.47,24145.06,24145.06,100,1279620.151,1279620.151,0.144597077
67,142.04,54,129.8,14442.44,6719.32,46.52482545,521288.0128,242528.338,0.027405702
68,87.19,24,81.15,5346.57,5346.57,100,88912.95945,88912.95945,0.010047164
69,177.58,84,173.2,22807.52,7013.28,30.74985794,1352757.18,415970.9112,0.047004713
70,166.53,60,138.81,16291.84,2732.05,16.76943795,726211.4784,121781.5833,0.013761319
71,202.34,64,166.37,25903.23,15842.26,61.15939981,1128068.205,689919.7436,0.077960931
72,117.11,40,112.73,9937.49,9937.49,100,276498.0684,276498.0684,0.031244282
73,165.77,60,145.67,17923.05,9422.24,52.57051674,758622.8688,398811.9622,0.045065752
74,185.26,76,182.24,25970.47,6189.34,23.83222175,1343499.723,320185.8331,0.036180999
75,143.86,46,127.39,13889.78,5691.62,40.97703491,441399.5109,180872.4317,0.020438585
76,140.68,54,135.4,14013.79,10758.34,76.76966759,538571.5476,413459.5868,0.046720933
77,115.15,32,98.68,8444.39,8444.39,100,190388.9259,190388.9259,0.021513949
78,102.45,36,90.82,7070.94,7070.94,100,175385.8627,175385.8627,0.019818602
79,158.56,64,140.23,11015.77,11015.77,100,745097.6052,745097.6052,0.084196029
80,130.56,50,118.17,15943.51,6538.5,41.0104174,403911.3003,165645.7102,0.018717965
81,120.13,50,97.47,8462.56,8462.56,100,306542.7646,306542.7646,0.034639332
82,113.94,56,110.92,9256.44,9256.44,100,370572.1058,370572.1058,0.041874648
83,246.92,112,227.42,39787.25,20307.34,51.03981803,3293074.595,1680779.281,0.189928059
84,177.4,78,159.72,20825.21,20825.21,100,1157193.917,1157193.917,0.130762913
85,168.79,64,134.04,17176.53,6361.21,37.03431368,758158.0118,280778.6163,0.031727984
86,107.29,44,97.62,7767.87,7767.87,100,241295.5693,241295.5693,0.027266399
87,111.37,42,110.16,9267.66,4361.69,47.06355218,269798.8286,126976.9125,0.014348391
88,184.05,92,178.61,24235.93,10851.08,44.77269905,1583536.368,708991.9723,0.080116093
89,152.02,72,147.79,16437.81,8288.21,50.42161942,846987.2955,427064.7107,0.048258312
90,164.71,70,141.14,18457.18,4450.71,24.11370534,852053.2605,205461.6126,0.023217162
91,136.3,54,115,11343.46,11343.46,100,443186.0465,443186.0465,0.050080023
92,148.39,66,147.18,15808.84,9699.76,61.35655747,754737.6084,463081.0145,0.052328155
93,201.04,72,179.53,26308.94,26308.94,100,1360663.156,1360663.156,0.153754937
94,181.64,84,156.85,19139.75,6873.27,35.91097062,1253065.938,449988.1408,0.05084866
95,221.68,90,209.59,34056.59,5913.41,17.36348237,2189465.984,380167.5401,0.042958932
96,205.96,88,192.06,27211.57,6304.6,23.1688212,1822640.861,422284.4022,0.047718137
97,235.58,108,213.67,38545.53,20999.52,54.47978015,2846455.15,1550742.508,0.175233903
98,157.61,69,135.09,16576.61,4662.98,28.12987698,769227.2908,216382.6906,0.024451244
99,221.08,90,190.25,29829.56,7837.58,26.27454109,1982052.954,520775.3178,0.058847611
100,245.4,110,205.96,36462.12,14092.19,38.64884982,2911043.861,1125084.97,0.127134602
101,224.1,82,213.22,36166.32,17972.67,49.69449477,2051550.776,1019507.793,0.115204381
102,117.14,42,96.86,8507.5,8507.5,100,249515.539,249515.539,0.028195256
103,119.38,46,105.48,9152.44,9152.44,100,303290.0409,303290.0409,0.034271775
104,242.23,95,221.08,38729.3,8007.93,20.67667115,2663787.721,550782.6273,0.062238437
105,233.57,90,191.78,34305.43,13705.97,39.95277133,2110870.093,843351.1013,0.095298674
106,84.7,35,81.75,5192.47,5192.47,100,126893.0506,126893.0506,0.014338915
107,117.56,50,101.09,9128.8,6411.17,70.23015073,311126.0682,218504.3066,0.024690987
108,194.48,72,178.61,24681.4,9692.82,39.2717593,1309519.094,514271.1865,0.058112644
109,179.22,63,171.96,22029.88,10422.34,47.31001712,1016606.966,480956.9297,0.054348133
110,213.82,105,198.11,31496.03,8341.87,26.48546499,2328856.048,616808.3534,0.069699344
111,118.17,42,110.16,9869.85,7393.56,74.91056095,286272.1341,214448.0615,0.024232631
112,232.5,99,211.23,37322.25,10836.94,29.03613796,2545730.192,739181.7306,0.083527536
113,184.2,68,170.3,22977.99,15048.19,65.48958373,1116893.617,731448.9803,0.082653735
114,135.09,60,120.59,11980.5,10229.77,85.38683694,511781.2487,436993.8203,0.049380302
115,115.75,48,102.91,8834.68,8834.68,100,299377.0038,299377.0038,0.033829601
116,218.66,108,187.08,31486.77,23605.98,74.97110691,2313231.422,1734255.202,0.195970838
117,164.27,72,156.41,18250.86,8278.59,45.35999947,968621.0257,439366.4922,0.049648414
118,150.2,64,132.68,15266.99,3947.33,25.85532577,667811.6512,172664.878,0.019511131
119,145.97,46,135.7,13776.51,5403.18,39.22023793,477089.5563,187115.6591,0.021144069
120,202.94,92,166.07,24709.34,7946.14,32.15844697,1623473.827,522083.9696,0.058995489
121,184.2,88,168.49,23525.04,11051.25,46.97654074,1430029.678,671778.4743,0.075910968
122,100.49,44,87.19,5936.92,4492.86,75.67661346,201855.6095,152757.4893,0.017261596
123,177.56,79,171.36,23803.36,14169.47,59.5271844,1258578.485,749196.3358,0.084659186
124,136.15,82,133.88,14604.67,10014.72,68.57203894,782610.777,536652.1668,0.060641695
125,110.76,60,98.83,8503.16,6669.45,78.4349583,343891.6376,269731.2625,0.030479633
126,163.5,80,150.81,18208.12,9759.46,53.59949297,1032848.222,553601.4103,0.062556959
127,245.4,117,196.29,36520.15,6781.63,18.56955681,2950918.516,547972.4902,0.061920891
128,153.23,70,129.05,14298.37,8115.39,56.75744858,724767.1034,411359.316,0.046483603
129,201.58,78,169.55,25615.99,8022.3,31.31754814,1395849.065,437145.703,0.049397464
130,207.78,94,186.62,27897.22,27897.22,100,1908483.471,1908483.471,0.215658632
131,197.5,80,156.25,23158.13,14404.56,62.20087719,1292634.477,804029.9838,0.090855388
132,222.81,100,212.61,32639.56,26174.09,80.19130773,2480372.962,1989043.514,0.224761917
133,247.22,137,228.93,44533.73,44533.73,100,4059808.045,4059808.045,0.458758309
134,127.84,56,113.18,11139.02,4162.27,37.36657264,424251.221,158528.1407,0.01791368
135,136.3,48,111.52,11720.39,7037.04,60.04100546,382022.0901,229369.904,0.025918799
136,117.56,53,101.09,8818.48,6919.31,78.46374885,329793.6323,258768.4474,0.029240835
137,225.31,76,208.38,33664.65,9808.36,29.13548782,1868309.043,544340.9537,0.061510528
138,205.96,98,200.52,28181.14,7090.82,25.16157969,2119167.462,533216.0099,0.060253409
139,126.63,50,123,11958.39,3720.06,31.10836827,407765.3747,126849.1544,0.014333954
140,87.8,34,80.54,5015.54,2898.12,57.78281102,125887.8106,72741.51571,0.008219791
141,112.12,40,93.99,7638.61,3065.2,40.12771957,220710.6818,88566.16347,0.010007976
142,148.39,80,129.65,14889.37,9419.53,63.26345574,805871.4411,509822.1225,0.0576099
143,178.16,94,174.99,23469.2,23469.2,100,1534440,1534440,0.17339172
144,162.29,93,146.58,17990.98,11649.98,64.75456034,1158371.993,750098.691,0.084761152
145,229.68,100,190.85,31097.46,12342.52,39.68980103,2295165.283,910946.5343,0.102936958
146,163.5,94,153.83,20055.08,9094.21,45.34616666,1237899.174,561339.8223,0.0634314
147,265.96,103,261.57,52090.8,31455.66,60.38621023,3751803.669,2265572.051,0.256009642
148,144.76,56,130.26,13074.87,8344.8,63.82319671,552899.6279,352878.2171,0.039875239
149,131.47,47,109.56,11241.41,4659.3,41.44764758,354466.4753,146918.0155,0.016601736
