"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa","d2"
"ppseudoinornata",28,171,351.07,175.54,96802.82,62460.01,64.5229240222547,22655819.718351,14618197.3434906,1.65185629981444,NA
"ppseudoinornata",29,156,299.67,149.84,70531.45,70531.45,100,14090565.5911875,14090565.5911875,1.59223391180419,NA
"ppseudoinornata",30,168,313.45,156.73,77168.31,77168.31,100,16125138.1800021,16125138.1800021,1.82214061434024,NA
"ppseudoinornata",31,156,261.97,130.88,53900.24,23423,43.4562072450883,9413547.15958554,4090770.56278362,0.462257073594549,NA
"ppseudoinornata",32,120,216.06,108.03,36665.31,36665.31,100,5281067.73311114,5281067.73311114,0.596760653841558,NA
"psubsphaerica",1,178,245.48,NA,38432.83,38432.83,100,4769788.67019837,4769788.67019837,0.538986119732416,208.48
"psubsphaerica",2,169,239.98,NA,32912.95,6665.16,20.2508738961412,3847429.15185316,779138.025785157,0.0880425969137227,181.18
"psubsphaerica",3,187,233.77,NA,34737.3,7129.76,20.5247961125361,4444608.39774604,912246.811638032,0.103083889715098,194.18
"psubsphaerica",4,87,116.57,NA,13161.39,1949.75,14.8141647652718,619001.167189513,91699.8528064097,0.0103620833671243,116.57
"psubsphaerica",5,180,250.69,NA,32577.5,32577.15,99.9989256388612,4002409.71287566,4002366.71254109,0.452267438517143,169.4
"psubsphaerica",6,85,137.81,NA,11492.09,4555.98,39.6444859029123,681232.019562355,270070.931961523,0.0305180153116521,111.07
"psubsphaerica",7,122,172.72,NA,20866.05,20866.05,100,1770606.27102704,1770606.27102704,0.200078508626056,160.48
"psubsphaerica",8,196,286.18,NA,54198.23,54198.23,100,7175807.30761867,7175807.30761867,0.81086622576091,244.33
"psubsphaerica",9,324,395.02,NA,86229.81,20838.68,24.1664454554637,19397746.3019829,4687745.77965793,0.529715273101346,289.46
"psubsphaerica",10,178,262.28,NA,43689.09,43689.09,100,5431600.93335631,5431600.93335631,0.613770905469263,222.2
"psubsphaerica",11,260,326.36,NA,65792.98,23170,35.2165231001849,11467631.4128123,4038501.06553711,0.456350620405694,258.11
"psubsphaerica",12,326,389.35,NA,100960.87,100960.87,100,22982324.3385889,22982324.3385889,2.59700265026055,345.81
"psubsphaerica",13,330,379.35,NA,107441.15,107441.15,100,24293019.7007606,24293019.7007606,2.74511122618595,370.62
"psubsphaerica",14,290,338.52,NA,80837.73,80837.73,100,15822083.6903245,15822083.6903245,1.78789545700667,307.81
"psubsphaerica",15,336,428.98,NA,127374.87,69930.88,54.9016301253144,28640904.215983,15724323.2972045,1.77684853258411,379.5
"psubsphaerica",16,280,373.89,NA,92179.13,92179.13,100,18260018.4192926,18260018.4192926,2.06338208138006,333.12
"psubsphaerica",17,247,302.64,NA,54876.76,54876.76,100,9450767.95841596,9450767.95841596,1.067936779301,241.46
"psubsphaerica",18,361,538.09,NA,167506.79,167506.79,100,41648948.9294708,41648948.9294708,4.70633122903021,409.49
"psubsphaerica",19,149,208.23,NA,24388.38,24388.38,100,2570171.6002765,2570171.6002765,0.290429390831244,158.21
