"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,14,63.18,31.59,3135.33,3135.33,100,23382.3401576906,23382.3401576906,0.00264220443781903
2,26,107.23,53.62,9030.96,7341.4,81.2914684596101,126624.061293917,102934.558849022,0.0116316051499395
3,20,73.77,36.89,4274.44,4274.44,100,46941.8481292689,46941.8481292689,0.00530442883860738
4,36,111.39,55.69,9744.81,9744.81,100,199807.711192425,199807.711192425,0.022578271364744
5,32,86.18,43.09,5833.22,3945.87,67.6447999561134,110487.623741661,74739.1320563097,0.00844552192236299
6,34,113.84,56.92,10177.6,7093.57,69.6978659015878,193612.382617389,134943.698805537,0.0152486379650257
