"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
66,162.44,119,131.32,17591.83,17591.83,100,1993704.08,1993704.08,0.225288561
67,111.67,69,93.39,7483.73,7483.73,100,565165.7874,565165.7874,0.063863734
68,102.6,66,95.2,6830.12,6830.12,100,506311.8898,506311.8898,0.057213244
69,204.6,114,149.6,21170.99,11674.64,55.14451615,2740513.562,1511242.944,0.170770453
70,210.2,108,114.24,16888.99,16888.99,100,2036875.775,2036875.775,0.230166963
71,140.53,74,97.62,9102.76,9102.76,100,797314.1117,797314.1117,0.090096495
72,330.03,120,159.41,35524.12,35524.12,100,4958383.442,4958383.442,0.560297329
73,188.13,120,177.1,24011.51,8699.42,36.23020793,3140130.84,1137675.932,0.12855738
74,147.33,76,115.45,10995.51,2172.34,19.75660974,1015286.473,200586.1862,0.022666239
75,169.09,94,139.17,15663.61,15663.61,100,1737325.869,1737325.869,0.196317823
76,114.24,82,95.96,7907.5,7907.5,100,706012.1378,706012.1378,0.079779372
77,98.98,55,66.04,4654.44,4654.44,100,282362.5433,282362.5433,0.031906967
79,100.04,52,86.13,5922.19,5922.19,100,351901.6923,351901.6923,0.039764891
80,145.97,62,102,10190.3,10190.3,100,725012.2602,725012.2602,0.081926385
81,103.81,72,93.39,7575.78,7575.78,100,548228.9234,548228.9234,0.061949868
82,135.55,90,100.64,9708.52,9708.52,100,964278.6271,964278.6271,0.108963485
83,177.86,98,165.47,19007.73,19007.73,100,2265236.297,2265236.297,0.255971702
85,158.82,95,135.7,14242.02,14242.02,100,1608046.215,1608046.215,0.181709222
86,173.32,100,126.33,14640.5,10217.74,69.79092244,1719669.774,1200173.398,0.135619594
87,144.16,96,125.72,14321.77,14321.77,100,1366501.965,1366501.965,0.154414722
88,161.24,102,130.11,14055.98,14055.98,100,1680635.448,1680635.448,0.189911806
89,113.03,76,136.15,10831.04,10831.04,100,918575.477,918575.477,0.103799029
90,380.91,127,158.77,41915.37,13306.92,31.74711329,6032320.691,1915087.684,0.216404908
91,128.9,88,89.16,7778.31,7778.31,100,794320.0604,794320.0604,0.089758167
92,222.44,135,180.12,28447.29,28447.29,100,4248136.614,4248136.614,0.480039437
93,109.25,79,97.01,7420.65,7420.65,100,657589.5801,657589.5801,0.074307623
94,184.51,87,127.08,15296.66,15296.66,100,1602161.344,1602161.344,0.181044232
95,155.8,100,155.64,15811.41,10051.46,63.57092758,1904489.387,1210701.569,0.136809277
96,107.59,55,87.95,6880.17,6880.17,100,408752.4062,408752.4062,0.046189022
97,185.72,104,140.53,17420.49,8273.32,47.4918903,2131822.011,1012442.571,0.11440601
98,219.87,84,169.09,24151.63,24151.63,100,2452748.778,2452748.778,0.277160612
99,168.64,80,113.64,12829.48,4868.58,37.94838138,1204125.315,456946.067,0.051634906
100,171.66,108,137.36,17559.61,17559.61,100,2000060.014,2000060.014,0.226006782
