"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
67,199.62,30,139.17,20231.91,14571.73,72.02350149,606957.3,437151.9,0.049398165
68,106.84,30,88.55,6981.08,6981.08,100,209432.4,209432.4,0.023665861
69,220.47,63,157.61,22502.9,11789.53,52.39115847,1417682.7,742740.39,0.083929664
70,152.17,36,105.02,11822.23,7067.5,59.78144563,425600.28,254430,0.02875059
71,105.63,30,97.77,7411.37,4887.52,65.94624206,222341.1,146625.6,0.016568693
72,166.22,36,111.82,13149.81,8215.47,62.47595973,473393.16,295756.92,0.033420532
73,154.59,30,140.38,15567.3,8597.15,55.22569746,467019,257914.5,0.029144339
74,220.2,44,212,31432.02,31432.02,100,1383008.88,1383008.88,0.156280003
75,270.54,72,138.61,25623.56,14771.26,57.64718095,1844896.32,1063530.72,0.120178971
76,205.2,42,147.79,22484.03,22484.03,100,944329.26,944329.26,0.106709206
77,157.61,39,128.75,13643.12,6195.41,45.41050727,532081.68,241620.99,0.027303172
78,117.87,20,89.76,7458.81,3901.16,52.30271317,149176.2,78023.2,0.008816622
79,114.09,30,100.19,8737.17,4453.41,50.97085212,262115.1,133602.3,0.01509706
80,301.86,60,199.2,36635.31,36635.31,100,2198118.6,2198118.6,0.248387402
81,191.76,42,166.22,23332.83,10960.67,46.97531332,979978.86,460348.14,0.05201934
82,189.95,24,142.2,19917.2,8145.67,40.89766634,478012.8,195496.08,0.022091057
83,162.44,35,138.72,15498.45,7794.99,50.29528759,542445.75,272824.65,0.030829185
84,213.82,52,205.81,28140.66,12806.32,45.50824323,1463314.32,665928.64,0.075249936
85,193.12,50,153.98,19174.8,19174.8,100,958740,958740,0.10833762
86,182.54,30,136.91,16740.75,6136.32,36.65498858,502222.5,184089.6,0.020802125
87,349.28,70,241.81,55170.63,22084.24,40.02897919,3861944.1,1545896.8,0.174686338
88,261.64,68,176.43,34821.74,34821.74,100,2367878.32,2367878.32,0.26757025
89,182.69,36,116.05,15990.28,15990.28,100,575650.08,575650.08,0.065048459
90,224.7,47,133.73,22392.01,11699.85,52.25011064,1052424.47,549892.95,0.062137903
91,152.17,32,116.05,12672.74,12672.74,100,405527.68,405527.68,0.045824628
92,130.11,26,129.35,10087.41,10087.41,100,262272.66,262272.66,0.029636811
93,118.47,35,91.12,8098.9,8098.9,100,283461.5,283461.5,0.03203115
94,188.74,46,136.91,19096.42,19096.42,100,878435.32,878435.32,0.099263191
95,167.28,42,114.24,14475.12,7785.65,53.78642802,607955.04,326997.3,0.036950695
96,227.72,64,210.2,31151.74,31151.74,100,1993711.36,1993711.36,0.225289384
97,239.96,44,152.62,27704.46,27704.46,100,1218996.24,1218996.24,0.137746575
98,196.6,42,130.11,16651.96,9609.65,57.70882226,699382.32,403605.3,0.045607399
99,207.17,42,108.04,16561.07,16561.07,100,695564.94,695564.94,0.078598838
100,194.78,48,140.53,19361.08,19361.08,100,929331.84,929331.84,0.105014498
