"species","ind","d_one","altura","d_two","ar","arp","prot","volume","biov","biomassa"
"bbrevior",65,183.9,24,81.9,11559.73,9812.76,84.88744979,40894.89011,34714.62931,0.003922753
"bbrevior",66,174.68,35,84.32,10414.94,10414.94,100,57861.18845,57861.18845,0.006538314
"bbrevior",67,177.25,44,81.9,10694.79,4985.23,46.6136315,72111.16747,33613.63387,0.003798341
"bbrevior",68,182.69,27,92.78,12057.65,8317.43,68.98052274,51017.97412,35192.46524,0.003976749
"bbrevior",69,132.52,31.5,76.92,7671.46,7671.46,100,35220.34558,35220.34558,0.003979899
"bbrevior",70,182.09,28,89.76,11441.01,4529.43,39.58942436,51204.36912,20271.51498,0.002290681
"bbrevior",71,163.05,26,75.71,9184.83,9184.83,100,36160.23527,36160.23527,0.004086107
"bbrevior",72,220.47,43.5,111.82,17391.25,3433.05,19.74009919,119654.5197,23619.92088,0.002669051
"bbrevior",73,161.24,27,106.23,10904.75,8430.82,77.31328091,49693.56966,38419.7291,0.004341429
"bbrevior",74,122.85,27.5,105.02,7973.72,4116.73,51.62872536,36289.48338,18735.79771,0.002117145
"bbrevior",75,162.44,34.5,79.94,9679.29,9679.29,100,50180.25575,50180.25575,0.005670369
"bbrevior",76,192.97,35,88.55,13158.83,13158.83,100,67488.6297,67488.6297,0.007626215
"bbrevior",77,181.94,30,93.54,11700.2,9426.91,80.57050307,56843.11628,45798.78475,0.005175263
"bbrevior",78,164.41,24,89.76,10319.09,4072.51,39.46578623,39120.06202,15439.04005,0.001744612
"bbrevior",79,149,36,89.16,9405.83,9405.83,100,52232.45224,52232.45224,0.005902267
"bbrevior",80,203.4,34,97.62,13736.66,13736.66,100,75784.41115,75784.41115,0.008563638
"bbrevior",81,241.93,43.5,106.84,18699.75,18699.75,100,127399.5442,127399.5442,0.014396148
"bbrevior",82,207.63,37.5,125.27,16385.83,9251.62,56.46110084,106279.8889,60006.79525,0.006780768
"bbrevior",83,156.25,31.5,81.9,9924.87,9924.87,100,44795.87887,44795.87887,0.005061934
"bbrevior",84,189.8,47,113.03,12655.61,5562.36,43.95173366,110212.2301,48440.18582,0.005473741
"bbrevior",85,179.52,36,94.14,12390.08,12390.08,100,67605.22609,67605.22609,0.007639391
"bbrevior",86,249.96,44,95.56,18275.69,5446.15,29.79996925,120751.967,35984.04902,0.004066198
"bbrevior",87,157.61,24,80.09,9008.64,9008.64,100,33772.00594,33772.00594,0.003816237
"bbrevior",88,200.83,36,90.97,13417.61,13417.61,100,74320.74753,74320.74753,0.008398244
"bbrevior",89,180.28,32,86.74,10968.63,10968.63,100,56165.33816,56165.33816,0.006346683
"bbrevior",90,174.08,35,97.77,72244.06,8440.78,11.68370105,65597.68065,7664.236906,0.000866059
"bbrevior",91,162.6,41,87.95,9810.61,9810.61,100,64956.35588,64956.35588,0.007340068
"bbrevior",92,172.12,28,106.84,12011.72,8271.73,68.86382633,55850.53402,38460.81475,0.004346072
"bbrevior",93,187.38,31.5,87.34,12347.32,8203.79,66.44186755,58062.87031,38578.05539,0.00435932
"bbrevior",94,135.55,25,76.92,7491.07,7491.07,100,28655.63214,28655.63214,0.003238086
"bbrevior",95,186.77,30.5,77.52,10696.98,10696.98,100,50338.31206,50338.31206,0.005688229
"bcompacta",1,155.49,42,132.83,12998.04,3691.47,28.40020495,88824.99253,25226.47993,0.002850592
"bcompacta",2,184.81,32,93.84,12169.1,12169.1,100,61888.67039,61888.67039,0.00699342
"bcompacta",3,146.28,32,115.15,11334.52,5265.54,46.45578287,56106.75329,26064.83148,0.002945326
"bcompacta",4,182.24,28,95.65,12588.41,5724.6,45.47516327,54190.97301,24643.43345,0.002784708
"bcompacta",5,140.84,40,151.72,13282.48,5484.87,41.29402039,82420.27659,34034.64583,0.003845915
"bcompacta",6,176.95,36,78.28,9955.33,9955.33,100,56512.52981,56512.52981,0.006385916
"bcompacta",7,155.64,29,86.59,8332.01,8332.01,100,43083.32462,43083.32462,0.004868416
"bcompacta",8,202.34,40,106.53,15549.68,7969.98,51.25494544,95755.56158,49079.46084,0.005545979
"bcompacta",9,156.25,40,103.51,11077.55,5497.63,49.62857311,69561.46209,34522.36106,0.003901027
"bcompacta",10,123.61,47.5,112.73,9862.52,6361.63,64.50308846,66960.2234,43191.41213,0.00488063
"bcompacta",11,228.33,52,135.7,21235.61,13179.42,62.06282749,176093.8438,109288.8185,0.012349636
"bcompacta",13,199.71,51,161.27,22066.77,7018.13,31.80406557,170204.528,54131.95967,0.006116911
"bcompacta",15,155.64,42.5,99.43,10744.55,5956.93,55.44140983,71163.6036,39454.10512,0.004458314
"bcompacta",16,139.32,40,82.51,8290.34,6661.46,80.35207241,50345.46595,40453.62526,0.00457126
"bcompacta",18,153.23,42.5,102.51,10244.98,5777.61,56.3945464,71697.52476,40433.49387,0.004568985
"bcompacta",19,112.58,35.5,110.16,8290.11,4921.19,59.36217975,43658.89444,25916.8714,0.002928606
"bcompacta",20,246.5,40,118.39,19357.25,4207.03,21.73361402,131020.193,28475.42303,0.003217723
"bcompacta",21,244.04,42,122.4,21938.33,9971.64,45.45304953,140114.0445,63686.10605,0.00719653
"bcompacta",22,256.74,58.5,127.84,24247.89,18578.95,76.62089361,214827.929,164603.0789,0.018600148
"bcompacta",23,147.79,31,89.16,9060.21,3395.71,37.4793741,44531.93347,16690.28994,0.001886003
"bcompacta",24,180.58,32.5,97.47,11584.28,3244.93,28.01149489,63307.60103,17733.40543,0.002003875
"bcompacta",25,153.38,27.5,93.39,8901.21,8901.21,100,42862.89819,42862.89819,0.004843507
"bcompacta",26,183.6,38,98.83,12952.53,10623.28,82.01702679,76369.91784,62636.33598,0.007077906
"bcompacta",27,136.3,38,81.15,7893.02,7893.02,100,45975.45939,45975.45939,0.005195227
"bcompacta",28,247.07,48,125.42,22304.61,10007.32,44.86659933,165932.4221,74448.23497,0.008412651
"bcompacta",29,169.55,41,94.44,11312.61,8529.44,75.39763149,72430.93188,54611.2071,0.006171066
"bcompacta",30,199.32,44.5,145.97,20672.98,7409.54,35.84166385,136689.4495,48991.77301,0.00553607
"bcompacta",31,177.4,22.5,92.03,11382.71,3800.2,33.38572273,40832.68914,13632.28838,0.001540449
"bcompacta",32,151.41,27,96.86,10368.26,8173.36,78.83058488,42757.98434,33706.36914,0.00380882
"bcompacta",33,257.95,37.5,123.61,23828.94,10895.06,45.72196665,134209.9505,61363.42881,0.006934067
"bcompacta",34,155.04,49,90.82,9681.22,8488.11,87.6760367,75720.05954,66388.34719,0.007501883
"bcompacta",35,133.28,30,125.88,10438.26,5488.57,52.58127312,50269.33303,26432.2553,0.002986845
"bcompacta",37,158.67,29,103.66,11079.64,2585.33,23.3340614,51335.46732,11978.64946,0.001353587
"bcompacta",38,179.82,43,129.05,15763.36,12236.06,77.62342546,105774.0393,82105.43253,0.009277914
"bcompacta",39,152.02,31.5,81.15,8672.43,3547.45,40.90491362,43087.42153,17624.87256,0.001991611
"bcompacta",40,117.87,40,92.93,7447.25,3351.7,45.00587465,45723.02135,20578.04568,0.002325319
"bcompacta",41,183.3,45.5,112.28,14008.9,11079.13,79.08636652,101929.6447,80612.45237,0.009109207
"bcompacta",42,185.11,40,89.76,12104.76,12104.76,100,74577.86579,74577.86579,0.008427299
"bcompacta",43,189.95,35,100.04,12703.41,6472.82,50.95340542,73844.73946,37626.40948,0.004251784
"bcompacta",44,139.78,27,94.14,8799.85,5632.01,64.00120457,38051.73846,24353.57097,0.002751954
"bcompacta",45,128.9,36,87.95,8272,8272,100,43688.22921,43688.22921,0.00493677
"bcompacta",46,345.4,67.5,163.01,39521.17,15330.03,38.78941337,427629.9465,165875.1476,0.018743892
"bcompacta",47,144.16,32,81.9,8390.06,5887.25,70.16934325,41554.5675,29158.5671,0.003294918
"bcompacta",48,147.18,26,91.72,9433.39,4252.3,45.07711438,38055.08934,17154.13615,0.001938417
"bcompacta",49,114.84,26,85.38,6816.97,1986.6,29.1419795,26839.63374,7821.600562,0.000883841
"bcompacta",50,278.88,55,141.42,26898.91,21519.1,79.99989591,242030.7037,193624.311,0.021879547
"bcompacta",51,174.68,30.5,96.56,12039.96,8813.6,73.20290101,56749.5901,41542.34626,0.004694285
"bcompacta",52,221.68,41.5,126.48,18902.17,9165.22,48.48766041,127825.8738,61979.7756,0.007003715
"bcompacta",53,154.59,28.5,84.92,9390.27,9390.27,100,41313.11662,41313.11662,0.004668382
"bcompacta",54,158.21,32.5,95.35,9820.74,9820.74,100,53452.13493,53452.13493,0.006040091
"bcompacta",55,151.56,31.5,77.07,8328.73,8328.73,100,41047.89239,41047.89239,0.004638412
"bcompacta",56,153.23,27,74.5,8212.29,6572.19,80.02871306,34552.62533,27652.02138,0.003124678
"bcompacta",57,211.4,37.5,125.88,17869.09,11851.31,66.32296328,108942.3732,72253.81019,0.008164681
"bcompacta",59,153.83,52,122.25,12320.84,12320.84,100,101879.1661,101879.1661,0.011512346
"bcompacta",60,199.77,43,98.83,13202.2,13302.2,100.7574495,95037.63305,95757.49514,0.010820597
"bcompacta",61,254.17,54,137.96,23498.05,9988.09,42.50603774,209515.6073,89056.78309,0.010063416
"bcompacta",62,172.27,51.5,115.45,14370.27,9016.04,62.74092275,110031.4423,69034.74224,0.007800926
"bcompacta",63,133.13,38,101.4,8556.26,3884.62,45.40091115,53824.84488,24436.97,0.002761378
"bcompacta",65,212.61,35.5,136.3,19697.51,19697.51,100,111030.9543,111030.9543,0.012546498
"bcompacta",66,139.32,24,86.13,8993.26,8993.26,100,31261.63859,31261.63859,0.003532565
"bcompacta",67,172.87,35.5,106.23,12895.69,12895.69,100,70868.58344,70868.58344,0.00800815
"bcompacta",68,123.31,37.5,114.24,9135.72,4809.29,52.64270359,53110.14256,27958.61492,0.003159323
"bcompacta",69,128.9,27,86.13,7636.63,5988.94,78.42385974,32155.75806,25217.7866,0.00284961
"bcompacta",70,192.36,52,156.4,20080.47,20080.47,100,161927.9135,161927.9135,0.018297854
"bcompacta",71,131.32,32,124.06,11056.1,11056.1,100,52083.99935,52083.99935,0.005885492
"bcompacta",72,191.16,41.5,100.19,13420.07,13420.07,100,88351.93398,88351.93398,0.009983769
