"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,142.8,42,124.52,13660.62,9722.18,71.1693905547479,391034.64082917,278296.970736067,0.0314475576931756
2,157,72,134.49,15745.85,9196.85,58.4080884804568,796014.107732691,464936.624361428,0.0525378385528414
