"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,55,138.41,69.2,15045.24,2492.95,16.5696924741646,500822.543084432,82984.7552303808,0.00937727734103303
2,48,96.05,48.03,7245.24,983.19,13.5701508852709,231840.557936758,31461.1135252719,0.00355510582835572
3,79,145.05,72.52,16523.38,6058.91,36.6687082182943,910777.893141303,333970.488152713,0.0377386651612566
4,44,120.23,60.11,11353.08,4133.06,36.4047465533582,294329.531101875,107149.919829325,0.0121079409407138
5,38,105.72,52.86,8777.87,8777.87,100,195516.220019398,195516.220019398,0.022093332862192
