"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
65,158.8,56,148.19,17460.74,17460.74,100,690011.0497,690011.0497,0.077971249
66,162.07,72,159.62,19061.3,19061.3,100,975261.449,975261.449,0.110204544
67,190.1,64,177.86,25354.89,25354.89,100,1133023.718,1133023.718,0.12803168
68,183.45,52,160.93,21747.41,21747.41,100,803816.0866,803816.0866,0.090831218
69,126.18,30,121.34,11172.36,11172.36,100,240499.6179,240499.6179,0.027176457
70,130.41,42,116.51,10799.84,10799.84,100,334135.0311,334135.0311,0.037757259
71,123.76,32,115.15,10132.95,10132.95,100,238777.1937,238777.1937,0.026981823
72,152.32,62,143.25,16290.76,16290.76,100,708340.1736,708340.1736,0.08004244
73,138.42,54,121.8,12222.03,12222.03,100,476692.7155,476692.7155,0.053866277
74,88.4,36,82.96,5298.72,5298.72,100,138236.3097,138236.3097,0.015620703
75,503.67,129,433.87,168933.66,168933.66,100,14760261.04,14760261.04,1.667909498
76,209.59,66,175.59,26954.18,26954.18,100,1271782.646,1271782.646,0.143711439
77,117.56,36,109.71,9340.33,9340.33,100,243112.2908,243112.2908,0.027471689
78,81.15,22,60.6,3618.7,3618.7,100,56647.72219,56647.72219,0.006401193
79,295.63,82,283.16,58841.12,58841.12,100,3594122.554,3594122.554,0.406135849
80,138.72,35,112.58,11523.42,11523.42,100,286198.2614,286198.2614,0.032340404
81,102.3,30,89.16,6462.91,6462.91,100,143273.4011,143273.4011,0.016189894
82,105.93,30,99.43,7878.25,7878.25,100,165446.0065,165446.0065,0.018695399
83,201.13,58,164.86,24597.88,24597.88,100,1006975.177,1006975.177,0.113788195
84,212.01,62,173.78,27610.36,19116.6,69.2370545,1196042.056,828104.29,0.093575785
85,202.94,64,168.34,23795.13,9092.27,38.21063386,1144810.424,437439.3195,0.049430643
86,264.69,63,218.39,44335,44335,100,1906818.927,1906818.927,0.215470539
87,209.54,51,174.65,28366.08,28366.08,100,977246.9598,977246.9598,0.110428906
88,189.63,48,151.5,21098.95,21098.95,100,722037.1406,722037.1406,0.081590197
89,253.28,89,226.95,41023.24,41023.24,100,2678673.083,2678673.083,0.302690058
90,204.15,59,181.18,27100.98,12329.9,45.49614073,1142642.237,519858.1204,0.058743968
91,101.85,30,80.54,6246.34,3348.15,53.60178921,128852.407,69067.19559,0.007804593
92,136.3,50,108.95,11195.19,8378.87,74.84348189,388769.0802,290968.3162,0.03287942
93,388.3,148,342.56,106675.21,96646.51,90.59884672,10307761.9,9338713.406,1.055274615
94,182.69,56,146.28,20781.96,20781.96,100,783585.4746,783585.4746,0.088545159
95,151.11,50,140.23,15568.21,15568.21,100,554756.9686,554756.9686,0.062687537
96,129.35,48,109.86,10543.04,10543.04,100,357146.0798,357146.0798,0.040357507
97,192.36,63,166.98,24290.59,24290.59,100,1059542.537,1059542.537,0.119728307
98,116.66,42,109.86,9087.75,9087.75,100,281844.445,281844.445,0.031848422
99,125.12,47,119.08,10795.06,10795.06,100,366658.7403,366658.7403,0.041432438
100,88.1,28,86.13,5495.62,4338.47,78.94414097,111246.6673,87822.72585,0.009923968
101,441.1,108,417.94,141228.89,141228.89,100,10424935.44,10424935.44,1.178017704
102,103.21,32,84.32,6779.85,6779.85,100,145814.5885,145814.5885,0.016477049
103,330.17,108,262.89,64504.69,10696.23,16.58209659,4908333.393,813904.5841,0.091971218
104,134.04,47,120.74,11885.3,11885.3,100,398274.1056,398274.1056,0.045004974
105,292.11,84,251.69,54041.26,6985.29,12.92584592,3233629.766,417974.0011,0.047231062
106,251.3,75,210.65,40063.07,13487.1,33.66466923,2078805.407,699822.9644,0.079079995
107,214.88,72,177.86,26812.54,10819.38,40.3519398,1440805.647,581393.0275,0.065697412
108,171.21,60,128.75,17108.67,17108.67,100,692510.3008,692510.3008,0.078253664
