"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,381.46,105,170.25,50897.03,27781.78,54.5842851734178,5355688.451625,2923364.25743479,0.330340161090132
2,309.53,88,178.48,39069.45,21142.94,54.1162980282548,3818254.37949777,2066297.91948591,0.233491664901908
3,242.53,59,187.53,24470.11,10671.92,43.6120638607673,2107551.10029868,919146.531760563,0.103863558088944
4,346.83,112,278.03,55458.82,16218.11,29.2435179832532,8482350.61098156,2480537.72632498,0.280300763074722
5,399.88,106,215.5,63816.46,22644.48,35.4837607726909,7174187.19750234,2545671.42254675,0.287660870747783
