"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"dmourai",52,46,183.53,91.76,26453.42,26453.42,100,304196.7171,304196.7171,0.034374229
"dmourai",53,45,193.77,96.89,29489.32,29489.32,100,250684.0545,250684.0545,0.028327298
"dmourai",54,56,251.24,125.62,49576.3,49576.3,100,793208.6353,793208.6353,0.089632576
"dmourai",55,42,190.13,95.07,28392.46,28392.46,100,298144.0589,298144.0589,0.033690279
"dmourai",56,47,152.2,76.1,18192.62,18192.62,100,145548.9824,145548.9824,0.016447035
"dmourai",57,42,144.59,72.3,16420.65,16420.65,100,229908.2221,229908.2221,0.025979629
"dmourai",58,45,224.48,112.24,39576.78,39576.78,100,356194.9011,356194.9011,0.040250024
"dmourai",59,42,212.41,106.21,35437.21,35437.21,100,372108.8418,372108.8418,0.042048299
"dmourai",60,50,195.55,97.77,30032.3,30032.3,100,300303.9904,300303.9904,0.033934351
"dmourai",61,54,229.97,114.98,41535.12,41535.12,100,415331.1278,415331.1278,0.046932417
"dmourai",62,48,190.09,95.05,28380.89,28380.89,100,340592.7202,340592.7202,0.038486977
"dmourai",63,30,136.89,68.44,14716.47,14716.47,100,73576.62774,73576.62774,0.008314159
"dmourai",64,32,163.95,81.98,21112.03,21112.03,100,126682.595,126682.595,0.014315133
"dmourai",65,28,144.55,72.28,16411.18,16411.18,100,98477.58981,98477.58981,0.011127968
"dmourai",66,28,144.55,72.28,16411.18,16411.18,100,98477.58981,98477.58981,0.011127968
"dminuta",1,44,131.82,65.91,13647.95,13647.95,100,136474.80926995,136474.80926995,0.0154216534475043
"dminuta",2,36,123.5,61.75,11978.13,11978.13,100,95832.713113943,95832.713113943,0.0108290965818756
"dminuta",3,38,125.03,62.52,12278.06,12278.06,100,147356.418515515,147356.418515515,0.0166512752922532
"dminuta",4,28,135.79,67.89,14481.46,14481.46,100,101358.349534843,101358.349534843,0.0114534934974372
"dminuta",5,38,116.33,58.17,10628.9,10628.9,100,127564.328246647,127564.328246647,0.0144147690918711
"dminuta",6,39,118.84,59.42,11092.32,11092.32,100,110921.355374504,110921.355374504,0.012534113157319
"dminuta",7,42,148.29,74.14,17269.94,17269.94,100,207222.200979731,207222.200979731,0.0234161087107096
