"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
61,39,154.63,77.32,18779.36,10336.01,55.03920261,397301.3793,218671.5111,0.024709881
62,40,139.01,69.5,15175.87,6372.61,41.99172766,337003.88,141513.7515,0.015991054
63,40,135.21,67.6,14357.5,14357.5,100,320636.8106,320636.8106,0.03623196
64,30,112.39,56.19,9920.5,9920.5,100,162922.1829,162922.1829,0.018410207
65,34,129.42,64.71,13154.83,13154.83,100,244215.4635,244215.4635,0.027596347
66,42,152.22,76.11,18197.87,5938.24,32.63151127,420958.8829,137365.2453,0.015522273
67,100,221.86,110.93,38657.87,5887.88,15.23074086,2456536.682,374148.7361,0.042278807
68,77,204.86,102.43,32961.39,3994.11,12.11754116,1508049.837,182738.5597,0.020649457
69,40,152.61,76.31,18292.7,10569.76,57.78130074,399393.7801,230774.9212,0.026077566
70,39,141.96,70.98,15826.96,7914.71,50.00777155,339702.386,169877.5931,0.019196168
71,47,166.24,83.12,21706.15,4903.65,22.5910629,564430.4483,127510.8376,0.014408725
72,60,194.71,97.35,29775.12,16602.76,55.76051415,1006285.664,561110.0598,0.063405437
73,39,173.31,86.66,23591.26,6222.4,26.37586971,491127.172,129539.063,0.014637914
74,65,170.14,85.07,22735.58,22735.58,100,882694.0501,882694.0501,0.099744428
75,63,202.64,101.32,32251.19,6205.18,19.24015827,1146823.902,220650.7338,0.024933533
76,32,157.52,78.76,19487.19,9278.4,47.61281642,328960.9889,156627.5918,0.017698918
77,66,165.15,82.63,21447.76,11156.14,52.0154086,858379.4271,446489.5664,0.050453321
78,48,127.63,63.81,12793.27,4714.4,36.85062537,364905.9971,134470.1419,0.015195126
79,36,123.17,61.58,11914.78,5652.35,47.43981844,238867.024,113318.0825,0.012804943
80,34,106.31,53.15,8876.01,4082,45.9891325,171450.3744,78848.53988,0.008909885
81,54,158.08,79.04,19626.72,6468.76,32.95894576,612364.528,201828.8927,0.022806665
82,38,110.85,55.42,9650.12,3411.59,35.35282463,212062.1692,74969.96678,0.008471606
83,53,172.18,86.09,23284.44,6474.79,27.80736835,694974.544,193254.1314,0.021837717
84,24,112.38,56.19,9918.78,9918.78,100,126266.2423,126266.2423,0.014268085
85,36,97.76,48.88,7506.69,7506.69,100,159538.1778,159538.1778,0.018027814
87,35,121.59,60.79,11610.55,4143.42,35.68668151,225615.8486,80514.80933,0.009098173
88,32,115.88,57.94,10547.12,7993.72,75.79054756,185900.7009,140895.1591,0.015921153
89,66,182.97,91.49,26293.73,3981.89,15.14387651,1018315.413,154212.4286,0.017426004
90,90,233.61,116.81,42863.32,5226.9,12.19434239,2310660.009,281769.793,0.031839987
91,35,102.14,51.07,8194.44,5457.79,66.60357511,165839.5525,110455.0709,0.012481423
92,70,186.58,93.29,27342.24,12575.54,45.99308616,1136541.86,522730.677,0.059068567
93,60,156.49,78.25,19233.89,7070.72,36.7617783,690182.3806,253723.3166,0.028670735
94,58,156.24,78.12,19173.27,6079.36,31.70747609,658157.2656,208685.0576,0.023581412
95,40,138.21,69.11,15002.91,4255.11,28.36189779,333607.322,94617.36768,0.010691763
96,32,113.16,56.58,10057.51,3981.37,39.58604068,178071.9927,70491.65148,0.007965557
97,84,188.3,94.18,27848.63,6485.04,23.28674696,1480691.18,344804.8083,0.038962943
98,93,185.64,92.82,27065.19,6721.17,24.83326369,1679755.2,417138.0382,0.047136598
99,44,116.2,58.11,10604.51,4102.39,38.68533294,277987.9714,107540.5723,0.012152085
