"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
68,48,212.05,106.02,35314.22,35314.22,100,565049.3994,565049.3994,0.063850582
69,44,208.41,104.24,34114.92,34114.92,100,500332.15,500332.15,0.056537533
70,36,147.86,73.93,17170.44,17170.44,100,206049.9584,206049.9584,0.023283645
71,32,136.25,68.12,14579.59,14579.59,100,155521.9263,155521.9263,0.017573978
72,42,158.49,79.25,19729.16,19729.16,100,276198.7113,276198.7113,0.031210454
73,44,154.18,77,18670.1,18670.1,100,273827.7046,273827.7046,0.030942531
74,42,153.88,76.94,18597.79,8051.8,43.29439143,260364.8017,112723.3564,0.012737739
75,66,244.8,122.4,47066.95,47066.95,100,1035464.918,1035464.918,0.117007536
76,46,184.57,92.29,26756.79,26756.79,100,410250.0879,410250.0879,0.04635826
77,39,119.29,59.64,11175.61,11175.61,100,145291.8691,145291.8691,0.016417981
78,30,126.99,63.5,12666.01,12666.01,100,126656.9215,126656.9215,0.014312232
79,24,128.7,64.35,13009.13,7719.07,59.33578956,104072.7337,61752.37823,0.006978019
