"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"nterquemi",47,64,183.15,91.57,26345.02,26345.02,100,980216.9428,980216.9428,0.110764515
"nterquemi",48,42,135.18,67.59,14352.31,14352.31,100,340186.01,340186.01,0.038441019
"nterquemi",49,28,110.87,55.44,9654.51,9654.51,100,146677.7474,146677.7474,0.016574585
"nterquemi",50,90,221.87,110.93,38660.53,25027.33,64.73612752,2121347.623,1373278.303,0.155180448
"nterquemi",51,47,179.17,89.59,25213.8,25213.8,100,646927.7036,646927.7036,0.073102831
"nterquemi",52,24,115.6,57.8,10496.38,10496.38,100,133184.9303,133184.9303,0.015049897
"nterquemi",53,28,127.34,63.67,12734.71,12734.71,100,189792.5069,189792.5069,0.021446553
"nterquemi",54,28,133.52,66.76,14001.75,14001.75,100,207518.635,207518.635,0.023449606
"nterquemi",55,95,232.69,113.35,42526.75,23237.84,54.64287772,2366204.868,1292962.433,0.146104755
"nterquemi",57,39,156.77,79.39,19303.61,14143.62,73.26930041,417173.8351,305660.3504,0.03453962
"nterquemi",58,32,128.91,64.46,13052.46,9567.04,73.29683447,226014.9686,165661.8174,0.018719785
"nterquemi",59,79,233.98,116.99,42999.46,42999.46,100,1956572.094,1956572.094,0.221092647
"nterquemi",60,40,180.73,90.37,25653.97,11520.73,44.90817601,546641.5347,245486.7425,0.027740002
"nterquemi",61,48,134.42,67.21,14191.35,5166.28,36.40442946,398493.493,145069.2826,0.016392829
"nterquemi",62,47,159.92,79.96,20085.9,8212.67,40.88773717,526384.7534,215226.8145,0.02432063
"nterquemi",63,64,175.29,87.65,24133.44,15089.29,62.52440597,909589.6775,568715.5426,0.064264856
"nterquemi",64,52,168.45,84.22,22284.71,18131.95,81.36498074,652989.0968,531304.4529,0.060037403
"nterquemi",65,50,157.55,78.78,19495.58,19495.53,99.99974353,552890.5981,552889.1801,0.062476477
"nterquemi",66,70,151.25,75.63,17967.3,11079.7,61.6659153,808529.8929,498587.359,0.056340372
"nterquemi",67,50,125.19,62.6,12309.55,4379.04,35.5743305,373228.5377,132773.5535,0.015003412
"nterquemi",68,70,195.65,97.83,30064.44,30064.44,100,1231948.787,1231948.787,0.139210213
"nterquemi",69,84,184.65,92.32,26778.1,16778.1,62.65605103,1434920.122,899064.2841,0.101594264
"nterquemi",70,44,147.67,73.84,17126.83,12623.87,73.70815265,421441.3136,310636.6067,0.035101937
"nterquemi",71,36,102.53,51.26,8256.2,6097.21,73.85007631,173015.6027,127772.1546,0.014438253
"nterquemi",72,54,198.4,99.2,30914.16,7475.47,24.18137837,917160.5806,221782.0703,0.025061374
"nterquemi",73,35,116.71,58.35,10697.77,4849.61,45.33290583,209633.6934,95033.04482,0.010738734
"nterquemi",74,38,118.09,59.05,10953.15,4267.61,38.96239894,236865.0303,92288.29807,0.010428578
"nterquemi",75,59,202.3,101.15,32143.09,5123.19,15.93869787,1055744.297,168271.8938,0.019014724
"nterquemi",76,72,294.85,147.43,68280.67,68280.67,100,2653671.196,2653671.196,0.299864845
"nterquemi",77,52,213.16,106.58,35685.53,35685.53,100,1001465.512,1001465.512,0.113165603
"nstachi",1,72,203.5,101.75,32525.59,19262.39,59.22226161,1366335.979,809175.0681,0.091436783
"nstachi",2,42,146.46,73.23,16847.05,10444.83,61.99797591,392583.7567,243393.9829,0.02750352
"nstachi",3,44,170.59,85.3,22856.03,13656.02,59.74799648,547489.4778,327113.9939,0.036963881
"nstachi",4,76,220.33,110.17,38128.53,26663,69.92926294,1678819.88,1173986.368,0.13266046
"nstachi",5,60,178.09,89.05,24910.48,19337.89,77.62953584,860473.0388,667981.226,0.075481879
"nstachi",6,36,136.79,68.39,14695.54,11283.07,76.77887305,288918.0066,221827.9895,0.025066563
"nstachi",7,66,247.83,123.92,48240.06,48240.06,100,1742545.599,1742545.599,0.196907653
"nstachi",8,72,174.46,87.23,23903.96,13125.21,54.90809891,1055998.067,579828.463,0.065520616
"nstachi",9,50,191.99,96,28950.87,24157.37,83.4426392,789272.7944,658590.0502,0.074420676
"nstachi",10,48,152.82,76.41,18342.98,18342.98,100,498117.4676,498117.4676,0.056287274
"nstachi",11,42,178.25,89.13,24955.05,15199.99,60.90947524,562895.7902,342856.872,0.038742827
"nstachi",12,59,182.96,91.48,26291.58,12326.02,46.88200557,883111.9056,414020.5728,0.046784325
"nstachi",13,75,227.94,113.97,40808.1,20401.76,49.99438837,1751142.701,875473.0828,0.098928458
"nstachi",14,45,177.63,88.81,24780.94,4737.27,19.11658718,605227.392,115698.8221,0.013073967
"nstachi",15,40,144.41,72.21,16379.33,16379.33,100,361133.4541,361133.4541,0.04080808
"nstachi",16,94,225.15,112.57,39812.55,39812.55,100,2305975.808,2305975.808,0.260575266
"nstachi",17,40,109.89,54.94,9483.69,7358.02,77.58604509,223162.2132,173142.7353,0.019565129
"nstachi",18,30,135.71,67.85,14463.95,14463.95,100,231077.7664,231077.7664,0.026111788
"nstachi",19,35,112.64,56.32,9964.11,9964.11,100,196835.939,196835.939,0.022242461
"nstachi",20,48,139.94,69.97,15380.75,15380.75,100,427040.5272,427040.5272,0.04825558
"nstachi",21,30,84.78,42.39,5644.62,5644.62,100,98814.65474,98814.65474,0.011166056
"nstachi",22,47,134.01,67.01,14105.27,14105.27,100,385871.8533,385871.8533,0.043603519
"nstachi",23,47,115.3,57.65,10441.02,10441.02,100,299728.7117,299728.7117,0.033869344
"nstachi",24,50,162.07,81.03,20629.38,15693.3,76.07257222,581131.3562,442081.5707,0.049955217
"nstachi",25,32,112.89,56.44,10008.28,7423.36,74.17218543,177276.6521,131489.9671,0.014858366
"nstachi",26,40,134.56,67.28,14221.2,4838.85,34.02560965,317924.8873,108175.8811,0.012223875
"nstachi",27,40,126.94,63.47,12656.26,4828.42,38.15044887,286624.7284,109348.6205,0.012356394
"nstachi",28,36,88.27,44.14,6119.59,4321.44,70.61649555,134605.0332,95053.3573,0.010741029
"nstachi",29,30,87.4,43.7,5998.93,3851.76,64.20745033,104129.1881,66858.69671,0.007555033
"nstachi",30,28,70.85,35.43,3942.73,2631.71,66.74842051,66704.35381,44524.10258,0.005031224
"nstachi",31,44,133.94,66.64,13950.82,2754.35,19.74328391,351534.4933,69404.45304,0.007842703
"nstachi",32,32,124.94,62.47,12260.27,6893.29,56.22461822,213318.3752,119937.4421,0.013552931
"nstachi",33,32,134.41,67.21,14189.06,6254.99,44.08318803,244215.7228,107658.0763,0.012165363
"nstachi",34,52,145.92,72.96,16723.09,16723.09,100,508425.5165,508425.5165,0.057452083
"nstachi",35,88,222.61,111.3,38919.35,38919.35,100,2069169.245,2069169.245,0.233816125
"nstachi",36,46,134.47,67.23,14201.18,9189.32,64.70814397,377555.7989,244309.3499,0.027606957
"nstachi",37,32,99.79,49.9,7821.12,7821.12,100,142318.8387,142318.8387,0.016082029
"nstachi",38,36,130.73,65.36,13422.55,9973.93,74.3072665,266000.9522,197658.0364,0.022335358
"nstachi",39,53,181.44,90.72,25856.92,25856.92,100,763127.3219,763127.3219,0.086233387
"nstachi",40,44,97.03,48.52,7395,3576.06,48.35780933,207312.198,100251.6374,0.011328435
"nstachi",41,55,154.56,77.28,18763.29,10263.28,54.69872288,603074.6484,329874.1307,0.037275777
"nstachi",42,32,138.86,69.43,15145.17,9607.72,63.43751836,259463.2945,164597.0751,0.018599469
"nstachi",43,23,95.1,47.55,7102.89,7102.89,100,88056.83802,88056.83802,0.009950423
"nstachi",44,26,94.49,47.25,7012.57,7012.57,100,100382.1974,100382.1974,0.011343188
"nstachi",45,34,147.29,73.64,17037.95,17037.95,100,310198.0622,310198.0622,0.035052381
"nstachi",46,46,135.75,67.88,14474.28,14474.28,100,383901.4846,383901.4846,0.043380868
"nstachi",47,34,124.56,62.28,12186.24,12186.24,100,227734.8038,227734.8038,0.025734033
"nstachi",48,55,156.08,78.04,19131.95,12164.87,63.58405704,613272.8488,389943.7579,0.044063645
"nstachi",49,47,158.19,79.09,19653.19,16123.43,82.03976047,516168.9939,423463.8062,0.04785141
"nstachi",50,35,113.08,56.54,10043.45,10043.45,100,198200.9956,198200.9956,0.022396712
"nstachi",51,32,108.02,54.01,9164.39,9164.39,100,163785.7233,163785.7233,0.018507787
"nstachi",52,48,149.85,74.92,17635.04,17635.04,100,481116.548,481116.548,0.05436617
"nstachi",53,36,115.49,57.74,10475.45,10475.45,100,212957.0577,212957.0577,0.024064148
"nstachi",54,48,146.09,73.05,16762.91,16762.91,100,460253.5654,460253.5654,0.052008653
"nstachi",55,39,160.52,80.26,20235.91,20235.91,100,425682.7202,425682.7202,0.048102147
"nstachi",56,85,216.02,108.01,36649.6,36649.6,100,1879193.82,1879193.82,0.212348902
"nstachi",57,35,126.13,63.07,12494.8,12494.8,100,241141.6435,241141.6435,0.027249006
"nstachi",58,42,129.31,64.66,13132.77,13132.77,100,314621.7945,314621.7945,0.035552263
"nstachi",59,120,289.64,144.82,65886.03,65886.03,100,4858064.456,4858064.456,0.548961284
"nstachi",60,50,152.2,76.1,18193.77,18193.77,100,520290.4168,520290.4168,0.058792817
"nstachi",61,46,144.79,72.4,16465.41,12741.22,77.38173541,429716.9288,332522.4168,0.037575033
"nstachi",62,23,95.25,47.62,7125.27,7125.27,100,88297.52124,88297.52124,0.00997762
"nstachi",63,28,102.83,51.42,8305.56,2635.92,31.73681245,127783.9553,40554.55424,0.004582665
"nstachi",64,42,110.24,55.12,9545.17,9545.17,100,239233.8589,239233.8589,0.027033426
"nstachi",65,42,124.62,62.31,12198.29,4564.97,37.42303224,294936.6708,110374.2454,0.01247229
"nstachi",66,45,144.12,72.06,16313.33,10404.17,63.77710743,414759.2857,264521.4752,0.029890927
"nstachi",67,60,171.12,85.56,22997.42,15578.7,67.74107704,803039.488,543987.5983,0.061470599
"nstachi",68,47,98.99,49.5,7696.65,7696.65,100,235257.2496,235257.2496,0.026584069
"nmicens",1,36,148.91,74.46,17416.07,7799.47,44.7831801319127,337951.328196994,151345.352064651,0.0171020247833056
"nmicens",2,52,154.57,77.28,18763.65,10218.79,54.4605660412553,561439.756812373,305763.269540666,0.0345512494580952
"nmicens",3,42,147.72,73.86,17138.88,6465.45,37.72387693945,398697.298214904,150404.078139502,0.0169956608297637
