"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,254.32,87,171.21,31050.4,1153.77,3.71579754206065,1983478.59079028,73702.0487238843,0.00832833150579893
2,204,72,176.65,24415.66,3634.77,14.8870438071303,1358547.81402164,202247.608214213,0.022853979728206
3,188.13,64,180.28,23737.3,4458.34,18.7820013228126,1136538.62902126,213464.700337049,0.0241215111380865
4,225.16,74,151.11,26306.29,3794.77,14.425333256799,1318301.62577012,190169.402847139,0.0214891425217267
5,228.93,70,153.53,25931.64,6731.4,25.9582502302207,1288227.66226236,334401.360104985,0.0377873536918633
