"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
128,28,151.72,75.86,18078.06,18078.06,100,264600.7075,264600.7075,0.02989988
129,30,112.13,56.06,9874.8,9874.8,100,162234.5276,162234.5276,0.018332502
130,36,137.51,68.76,14851.55,14851.55,100,291787.5971,291787.5971,0.032971998
131,46,155.95,77.97,19101.03,19101.03,100,490236.2577,490236.2577,0.055396697
132,38,131.24,65.62,13528,13528,100,285756.2422,285756.2422,0.032290455
133,52,137.42,68.71,14832.68,14832.68,100,459245.3443,459245.3443,0.051894724
134,29,67.22,33.61,3548.47,3548.47,100,64228.28719,64228.28719,0.007257796
135,34,127.45,63.73,12757.98,7321.04,57.38400593,237493.0508,136283.0264,0.015399982
136,19,96.05,48.03,7245.79,7245.79,100,72440.52485,72440.52485,0.008185779
137,30,100.92,50.46,7999.02,7999.02,100,134124.5618,134124.5618,0.015156075
138,42,142.65,71.32,15981.91,15981.91,100,374369.1151,374369.1151,0.04230371
139,30,131.09,65.55,13497.23,13497.23,100,216619.2145,216619.2145,0.024477971
140,42,131.29,65.65,13538.55,13538.55,100,323132.8243,323132.8243,0.036514009
141,38,124.74,62.37,12221.46,4097.17,33.5243907,260927.0338,87474.19827,0.009884584
142,28,133.8,66.9,14061.15,6714.04,47.74886834,208341.6493,99480.77981,0.011241328
143,29,100.83,50.41,7984.86,7984.86,100,128528.1186,128528.1186,0.014523677
144,36,103.24,51.62,8370.62,8370.62,100,175109.9844,175109.9844,0.019787428
145,47,186.94,93.47,27447.19,27447.19,100,699365.3172,699365.3172,0.079028281
146,40,122.6,61.3,11805.31,11805.31,100,269612.9476,269612.9476,0.030466263
147,40,148.42,74.21,17301.58,17301.58,100,379533.134,379533.134,0.042887244
148,32,123.38,61.69,11955.17,11955.17,100,208450.4246,208450.4246,0.023554898
149,25,68.49,34.25,3684.55,3684.55,100,54247.28753,54247.28753,0.006129943
150,16,67.32,33.66,3559.37,3559.37,100,30619.94582,30619.94582,0.003460054
151,24,139.71,69.86,15330.25,15330.25,100,191225.7138,191225.7138,0.021608506
152,44,136.07,68.04,14542.58,14542.58,100,364566.272,364566.272,0.041195989
153,32,119.28,59.64,11174.46,11174.46,100,195948.0671,195948.0671,0.022142132
154,30,111.25,55.63,9720.71,9720.71,100,159971.3227,159971.3227,0.018076759
155,28,110.45,55.23,9581.54,9581.54,100,145655.568,145655.568,0.016459079
156,22,102.64,51.32,8273.63,8273.63,100,96590.8833,96590.8833,0.01091477
157,34,94.31,47.15,6985.6,6985.6,100,139309.9966,139309.9966,0.01574203
158,28,89.23,44.61,6253.23,6253.23,100,99021.10314,99021.10314,0.011189385
159,20,68.4,34.2,3675.01,3675.01,100,40934.11452,40934.11452,0.004625555
